X, Y, Y_FIT, r = 0.09566, a = -3.8371, b = 3.0301,
1.9, -9.78, -8.87
2, -10.4, -10.2
2.1, -11.4, -11.7
2.2, -14.3, -13.3
2.3, -15.4, -15.1
2.4, -16.7, -17
2.5, -21, -19
2.6, -20.3, -21.3
2.7, -21.3, -23.7
2.8, -25.4, -26.3
2.9, -29.4, -29.1
3, -31.7, -32.1
3.1, -36.3, -35.2
3.2, -36.8, -38.6
3.3, -41.3, -42.3
3.4, -45.3, -46.1
3.5, -51, -50.2
3.6, -54.1, -54.5
3.7, -59.5, -59
3.8, -64, -63.8
3.9, -69.4, -68.9
4, -75.1, -74.3
4.1, -80.6, -79.9
4.2, -85.8, -85.8
4.3, -93.4, -92
4.4, -97.6, -98.5
4.5, -105, -105
4.6, -111, -112
4.7, -119, -120
4.8, -127, -128
4.9, -137, -136
5, -145, -144
